"varname","coded_value","coded_value_descr"
"naics_code","311","Food Manufacturing"
"naics_code","312","Beverage and Tobacco Product Manufacturing"
"naics_code","313","Textile Mills"
"naics_code","314","Textile Product Mills"
"naics_code","315","Apparel Manufacturing"
"naics_code","316","Leather and Allied Product Manufacturing"
"naics_code","321","Wood Product Manufacturing"
"naics_code","322","Paper Manufacturing"
"naics_code","323","Printing and Related Support Activities"
"naics_code","324","Petroleum and Coal Products Manufacturing"
"naics_code","325","Chemical Manufacturing"
"naics_code","326","Plastics and Rubber Products Manufacturing"
"naics_code","327","Nonmetallic Mineral Product Manufacturing"
"naics_code","331","Primary Metal Manufacturing"
"naics_code","332","Fabricated Metal Product Manufacturing"
"naics_code","333","Machinery Manufacturing"
"naics_code","334","Computer and Electronic Product Manufacturing"
"naics_code","335","Electrical Equipment, Appliance, and Component Manufacturing"
"naics_code","336","Transportation Equipment Manufacturing"
"naics_code","337","Furniture and Related Product Manufacturing"
"naics_code","339","Miscellaneous Manufacturing (e.g. medical equipment and supplies, jewelry, silverware, sporting goods, toys, etc.)"
"naics_code","All","All businesses with NAICS codes starting with 311-316, 321-327, 331-337, 339"
"revenue_category","0","NA"
"revenue_category","1","Less than $100K"
"revenue_category","2","$100K-$200K"
"revenue_category","3","$200K-$500K"
"revenue_category","4","$500K-$1M"
"revenue_category","5","$1M-$2.5M"
"revenue_category","6","$2.5M-$5M"
"revenue_category","7","$5M-$10M"
"revenue_category","8","$10M-$20M"
"revenue_category","9","$20M-$50M"
"revenue_category","10","$50M-$100M"
"revenue_category","11","$100M-$500M"
"revenue_category","12","$500M-$1B"
"revenue_category","13","Over $1B"
"revenue_category","88","Total"
"employee_size","1","1-4"
"employee_size","2","5-9"
"employee_size","3","10-19"
"employee_size","4","20-49"
"employee_size","5","50-99"
"employee_size","6","100-249"
"employee_size","7","250-499"
"employee_size","8","500-999"
"employee_size","9","1,000-4,999"
"employee_size","10","5,000-9,999"
"employee_size","11","Over 10,000"
"employee_size","12","NA"
"employee_size","88","Total"
